                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.995,                0.50435,                0.16576,                0.49855,                0.35806,                0.36608,                0.21674,                0.66559,                0.60012,                0.07955,                 0.0001,                 0.0001,                 0.0001
                     37,                0.99843,                0.50494,                0.17088,                0.50231,                0.36241,                0.36905,                0.21901,                0.66299,                0.59958,                0.07901,                 0.0001,                 0.0001,                 0.0001
                     38,                0.98865,                0.50771,                0.16339,                0.50306,                0.36428,                0.37114,                0.22063,                0.66084,                0.59915,                0.07863,                 0.0001,                 0.0001,                 0.0001
                     39,                0.99029,                0.50682,                0.16553,                0.51085,                0.36178,                 0.3744,                0.22273,                0.65857,                0.59902,                0.07826,                 0.0001,                 0.0001,                 0.0001
                     40,                0.97637,                0.50815,                0.16416,                0.51453,                0.36427,                0.37753,                0.22462,                0.65639,                0.59878,                0.07773,                 0.0001,                 0.0001,                 0.0001
                     41,                0.98154,                 0.5035,                0.16217,                0.51675,                0.36723,                0.38001,                 0.2266,                0.65412,                0.59854,                0.07743,                 0.0001,                 0.0001,                 0.0001
                     42,                0.97949,                0.50445,                0.16139,                0.51724,                0.36795,                0.38201,                0.22785,                0.65137,                0.59849,                0.07692,                 0.0001,                 0.0001,                 0.0001
                     43,                0.98862,                 0.4988,                0.16783,                0.51141,                0.37237,                0.38358,                0.22896,                0.64926,                0.59809,                0.07648,                 0.0001,                 0.0001,                 0.0001
                     44,                0.96952,                0.50369,                0.15846,                0.51531,                0.37313,                 0.3849,                0.23013,                0.64767,                0.59742,                0.07604,                 0.0001,                 0.0001,                 0.0001
                     45,                0.96672,                0.50655,                0.15833,                0.51687,                0.37668,                0.38868,                 0.2328,                0.64664,                0.59644,                0.07601,                 0.0001,                 0.0001,                 0.0001
                     46,                0.95674,                0.50872,                0.15336,                0.52471,                0.37492,                0.38957,                0.23339,                0.64471,                  0.596,                0.07553,                 0.0001,                 0.0001,                 0.0001
                     47,                0.96691,                0.50409,                0.15826,                0.52522,                0.37627,                0.39164,                0.23468,                0.64294,                0.59561,                0.07519,                 0.0001,                 0.0001,                 0.0001
                     48,                0.96473,                0.50436,                0.15703,                0.52455,                0.37791,                0.39436,                0.23666,                0.64079,                0.59587,                0.07474,                 0.0001,                 0.0001,                 0.0001
                     49,                0.95394,                0.50681,                0.15808,                0.53023,                 0.3784,                0.39621,                 0.2382,                0.63939,                0.59578,                0.07447,                 0.0001,                 0.0001,                 0.0001
                     50,                0.95648,                 0.5042,                0.15751,                 0.5282,                0.38253,                0.39871,                0.24002,                0.63743,                0.59514,                0.07431,                 0.0001,                 0.0001,                 0.0001
                     51,                0.96886,                0.50021,                0.15758,                0.53083,                0.38371,                0.40093,                 0.2414,                0.63532,                0.59484,                0.07388,                 0.0001,                 0.0001,                 0.0001
                     52,                0.94795,                0.50499,                0.15196,                0.53565,                0.38386,                0.40212,                0.24198,                0.63367,                0.59484,                 0.0737,                 0.0001,                 0.0001,                 0.0001
                     53,                0.94433,                0.50683,                0.15514,                0.53768,                0.38706,                0.40374,                0.24356,                0.63146,                 0.5944,                0.07304,                 0.0001,                 0.0001,                 0.0001
                     54,                0.95082,                0.50457,                0.15117,                0.53524,                0.38867,                0.40602,                0.24503,                0.62993,                0.59391,                0.07266,                 0.0001,                 0.0001,                 0.0001
                     55,                0.94285,                0.50392,                0.15127,                0.53803,                0.39135,                0.40765,                0.24646,                0.62949,                 0.5928,                0.07253,                 0.0001,                 0.0001,                 0.0001
                     56,                0.93969,                0.50523,                0.15181,                0.54039,                0.39333,                0.41082,                0.24845,                0.62772,                0.59289,                0.07229,                 0.0001,                 0.0001,                 0.0001
                     57,                0.95158,                0.50268,                0.15504,                0.54437,                0.39528,                 0.4135,                0.24978,                0.62709,                0.59213,                0.07209,                 0.0001,                 0.0001,                 0.0001
                     58,                0.94454,                0.50231,                0.15564,                0.54203,                0.39861,                0.41605,                0.25127,                0.62498,                0.59232,                0.07167,                 0.0001,                 0.0001,                 0.0001
                     59,                0.94196,                0.50127,                0.15328,                0.54188,                0.39997,                0.41682,                0.25201,                0.62344,                0.59178,                0.07128,                 0.0001,                 0.0001,                 0.0001
                     60,                0.93077,                0.50572,                0.14691,                 0.5449,                0.40177,                0.41898,                 0.2532,                0.62128,                0.59169,                0.07107,                 0.0001,                 0.0001,                 0.0001
                     61,                0.92435,                0.50605,                0.14668,                0.54406,                0.40219,                0.41981,                0.25365,                0.62025,                0.59113,                  0.071,                 0.0001,                 0.0001,                 0.0001
                     62,                0.93615,                0.50259,                0.15027,                0.54473,                0.40233,                 0.4205,                0.25427,                  0.619,                0.59095,                 0.0708,                 0.0001,                 0.0001,                 0.0001
                     63,                0.93761,                0.50022,                0.15377,                0.54732,                0.40508,                0.42258,                0.25544,                0.61793,                0.59067,                0.07063,                 0.0001,                 0.0001,                 0.0001
                     64,                0.92202,                0.50691,                0.14764,                 0.5444,                0.40916,                0.42392,                0.25597,                0.61669,                0.59076,                0.07058,                 0.0001,                 0.0001,                 0.0001
                     65,                0.91482,                  0.504,                0.14551,                0.54284,                0.41092,                0.42423,                 0.2564,                0.61582,                0.59052,                0.07033,                 0.0001,                 0.0001,                 0.0001
                     66,                0.92384,                 0.5043,                0.15009,                0.54524,                 0.4134,                0.42525,                 0.2573,                0.61447,                0.59022,                 0.0701,                 0.0001,                 0.0001,                 0.0001
                     67,                0.92118,                0.50353,                0.14383,                0.54664,                0.41295,                0.42707,                0.25904,                0.61332,                0.58958,                0.07001,                 0.0001,                 0.0001,                 0.0001
                     68,                0.91366,                0.50509,                0.14564,                0.54766,                0.41421,                  0.429,                0.25988,                0.61228,                0.58926,                0.06968,                 0.0001,                 0.0001,                 0.0001
                     69,                0.91452,                 0.5037,                0.14381,                0.55502,                0.41185,                0.42986,                0.26035,                0.61112,                0.58891,                 0.0695,                 0.0001,                 0.0001,                 0.0001
                     70,                0.91681,                0.50459,                0.14547,                 0.5542,                0.41312,                  0.431,                0.26068,                0.61008,                0.58885,                0.06934,                 0.0001,                 0.0001,                 0.0001
                     71,                0.91149,                0.50565,                  0.145,                0.55454,                0.41517,                0.43215,                 0.2617,                0.60965,                0.58864,                0.06933,                 0.0001,                 0.0001,                 0.0001
                     72,                0.90989,                0.50471,                 0.1411,                0.56141,                0.41429,                0.43348,                0.26229,                0.60875,                0.58827,                 0.0692,                 0.0001,                 0.0001,                 0.0001
                     73,                 0.9102,                0.50309,                0.14625,                0.56141,                0.41524,                0.43365,                0.26266,                 0.6077,                 0.5881,                0.06915,                 0.0001,                 0.0001,                 0.0001
                     74,                0.91206,                0.50012,                 0.1461,                0.56597,                0.41517,                0.43471,                0.26383,                0.60666,                0.58786,                0.06887,                 0.0001,                 0.0001,                 0.0001
                     75,                0.90895,                0.50384,                0.14236,                0.56626,                0.41789,                0.43606,                0.26444,                0.60568,                 0.5878,                0.06877,                 0.0001,                 0.0001,                 0.0001
                     76,                0.91357,                0.50088,                0.14797,                0.56511,                0.41972,                0.43814,                0.26567,                0.60488,                 0.5877,                0.06864,                 0.0001,                 0.0001,                 0.0001
                     77,                0.90578,                0.50253,                0.14243,                0.57205,                0.42044,                0.44058,                0.26702,                 0.6039,                0.58735,                0.06849,                 0.0001,                 0.0001,                 0.0001
                     78,                0.90413,                  0.502,                0.14329,                 0.5662,                0.42277,                 0.4407,                0.26708,                0.60332,                 0.5866,                0.06834,                 0.0001,                 0.0001,                 0.0001
                     79,                0.89818,                0.50402,                0.14247,                0.57396,                0.42038,                0.44141,                0.26763,                0.60195,                0.58669,                0.06806,                 0.0001,                 0.0001,                 0.0001
                     80,                0.90262,                0.50082,                0.14485,                0.57108,                0.42406,                0.44259,                0.26851,                0.60117,                0.58609,                0.06801,                 0.0001,                 0.0001,                 0.0001
                     81,                0.89799,                0.50181,                0.14206,                0.57532,                 0.4257,                0.44429,                0.26992,                0.60058,                0.58572,                0.06787,                 0.0001,                 0.0001,                 0.0001
                     82,                0.89332,                0.50369,                0.14097,                0.57644,                0.42548,                 0.4453,                0.27059,                0.59983,                0.58587,                0.06786,                 0.0001,                 0.0001,                 0.0001
                     83,                0.89584,                0.50183,                 0.1423,                 0.5772,                0.42695,                 0.4458,                0.27094,                0.59874,                0.58562,                 0.0677,                 0.0001,                 0.0001,                 0.0001
                     84,                0.88523,                0.50324,                0.13667,                0.57802,                0.42883,                0.44688,                 0.2715,                0.59749,                0.58576,                0.06733,                 0.0001,                 0.0001,                 0.0001
                     85,                0.89068,                0.50182,                0.13886,                0.57488,                0.43085,                0.44726,                0.27153,                0.59633,                0.58622,                0.06728,                 0.0001,                 0.0001,                 0.0001
                     86,                0.88548,                0.50203,                0.13616,                0.57459,                0.43204,                0.44889,                0.27223,                 0.5957,                0.58584,                0.06727,                 0.0001,                 0.0001,                 0.0001
                     87,                0.89221,                 0.5019,                0.13922,                0.57477,                0.43214,                0.44895,                0.27239,                0.59587,                0.58515,                0.06734,                 0.0001,                 0.0001,                 0.0001
                     88,                0.88258,                0.50231,                0.13695,                0.57515,                0.43162,                0.44967,                0.27258,                0.59494,                0.58493,                0.06701,                 0.0001,                 0.0001,                 0.0001
                     89,                0.89387,                0.50008,                0.13967,                 0.5747,                0.43362,                0.45021,                0.27309,                0.59469,                0.58487,                0.06697,                 0.0001,                 0.0001,                 0.0001
                     90,                0.88974,                0.50297,                 0.1384,                 0.5732,                0.43352,                0.45047,                0.27367,                0.59352,                0.58502,                0.06671,                 0.0001,                 0.0001,                 0.0001
                     91,                0.88962,                0.49977,                 0.1384,                0.57853,                0.43301,                0.45202,                0.27433,                0.59351,                0.58455,                0.06681,                 0.0001,                 0.0001,                 0.0001
                     92,                0.88057,                0.50257,                0.13475,                0.57637,                0.43469,                0.45268,                0.27495,                 0.5925,                0.58488,                 0.0665,                 0.0001,                 0.0001,                 0.0001
                     93,                0.88319,                0.50095,                0.13694,                0.57827,                0.43597,                0.45399,                0.27575,                0.59085,                0.58514,                0.06631,                 0.0001,                 0.0001,                 0.0001
                     94,                  0.872,                0.50469,                0.13603,                 0.5768,                0.43902,                0.45607,                0.27677,                0.59025,                0.58497,                0.06609,                 0.0001,                 0.0001,                 0.0001
                     95,                0.88179,                0.49991,                 0.1372,                0.58094,                0.43953,                0.45711,                0.27773,                0.58975,                0.58504,                0.06602,                 0.0001,                 0.0001,                 0.0001
                     96,                0.87365,                0.50282,                 0.1364,                0.58195,                 0.4399,                0.45857,                0.27871,                0.58859,                0.58475,                0.06573,                 0.0001,                 0.0001,                 0.0001
                     97,                0.88359,                0.49904,                0.13828,                0.58485,                0.44175,                 0.4596,                0.27952,                0.58817,                0.58441,                 0.0659,                 0.0001,                 0.0001,                 0.0001
                     98,                0.88083,                0.49993,                0.13835,                0.58526,                0.44233,                0.46029,                0.28012,                0.58806,                0.58434,                0.06604,                 0.0001,                 0.0001,                 0.0001
                     99,                0.87441,                 0.5027,                0.13327,                0.58317,                0.44299,                0.46006,                 0.2804,                0.58714,                0.58427,                0.06599,                 0.0001,                 0.0001,                 0.0001
                    100,                0.87725,                0.49966,                0.13627,                 0.5867,                0.44367,                0.46108,                0.28107,                0.58711,                0.58419,                0.06591,                 0.0001,                 0.0001,                 0.0001
