                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0347,                0.23584,                0.54852,                0.41447,                0.02465,                0.01211,                0.00253,                 1.6184,                0.38867,                0.32518,                0.05964,               4.04e-05,               4.04e-05
                      2,                 1.7876,                0.34449,                0.41975,                 0.2692,                0.08868,                0.04883,                0.01554,                 1.3077,                0.51521,                0.20992,               0.019231,              8.085e-05,              8.085e-05
                      3,                 1.6007,                0.42473,                0.35596,                0.27639,                0.12802,                0.10705,                0.04842,                  1.105,                0.58804,                0.16852,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.4568,                0.46792,                0.30352,                0.24336,                0.15364,                  0.144,                0.07125,                0.98998,                0.61904,                0.14371,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.3928,                0.47878,                0.28074,                0.30452,                0.17665,                0.16299,                0.08174,                0.96344,                0.60546,                0.13684,                 0.0001,                 0.0001,                 0.0001
                      6,                  1.348,                0.48657,                0.26467,                0.29128,                0.19727,                0.18044,                0.09131,                0.90896,                0.61921,                0.12496,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.3052,                0.49236,                 0.2522,                0.33883,                0.22242,                0.20265,                0.10501,                0.88471,                0.61003,                0.12055,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.2739,                0.49747,                0.24328,                0.33891,                0.24219,                0.22313,                0.11659,                0.86223,                0.61312,                 0.1173,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.2564,                0.49559,                0.23464,                0.36611,                0.24695,                0.23814,                0.12557,                0.84066,                0.61511,                 0.1097,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.2324,                0.50301,                0.22825,                0.38375,                0.26192,                0.25131,                0.13428,                0.82577,                0.61534,                0.10657,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.2329,                0.49668,                0.22811,                0.38438,                0.27364,                 0.2576,                0.13823,                0.81135,                0.61302,                0.10477,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.2092,                0.50014,                0.22108,                0.39627,                0.27713,                 0.2679,                0.14497,                0.80131,                0.61117,                0.10126,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.1925,                0.50068,                0.21653,                0.40394,                 0.2896,                0.28071,                0.15349,                0.78583,                0.61165,                0.09869,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.1862,                0.49904,                0.21743,                0.42384,                0.29719,                0.29164,                0.15971,                0.77375,                0.61225,                0.09608,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.1573,                0.50477,                0.20505,                0.43455,                0.29936,                 0.2971,                 0.1629,                0.76763,                0.60901,                 0.0943,                 0.0001,                 0.0001,                 0.0001
                     16,                   1.16,                0.50044,                0.20747,                0.42832,                0.31076,                0.30421,                0.16757,                0.76116,                0.60938,                 0.0923,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.1535,                 0.5008,                0.20742,                0.42734,                0.31071,                 0.3067,                0.17003,                0.75696,                0.60797,                0.09165,                 0.0001,                 0.0001,                 0.0001
                     18,                 1.1349,                0.50271,                0.19772,                0.44003,                 0.3143,                 0.3139,                0.17409,                0.75295,                0.60743,                0.09094,                 0.0001,                 0.0001,                 0.0001
                     19,                 1.1217,                 0.5081,                0.19394,                0.44874,                0.31769,                0.31804,                0.17653,                0.74737,                0.60746,                0.08955,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.1231,                0.50352,                0.19394,                0.44945,                0.32337,                0.32251,                0.17959,                0.74242,                0.60686,                0.08854,                 0.0001,                 0.0001,                 0.0001
                     21,                 1.1124,                0.50509,                0.19499,                0.44902,                0.32517,                0.32538,                0.18193,                0.73876,                0.60643,                0.08789,                 0.0001,                 0.0001,                 0.0001
                     22,                 1.1043,                0.50446,                 0.1909,                0.45583,                0.32548,                0.32793,                0.18386,                0.73612,                0.60535,                0.08712,                 0.0001,                 0.0001,                 0.0001
                     23,                 1.0983,                0.50684,                0.19292,                0.46039,                0.32976,                0.33047,                0.18598,                0.73281,                0.60523,                0.08654,                 0.0001,                 0.0001,                 0.0001
                     24,                 1.0923,                0.50247,                 0.1891,                0.46603,                0.33066,                0.33247,                0.18755,                0.73038,                0.60456,                0.08604,                 0.0001,                 0.0001,                 0.0001
                     25,                 1.0851,                0.50529,                 0.1852,                0.47398,                0.33062,                0.33452,                0.18918,                0.72819,                0.60432,                 0.0855,                 0.0001,                 0.0001,                 0.0001
                     26,                 1.0783,                0.50487,                0.18159,                0.47375,                0.33568,                0.33757,                0.19117,                0.72593,                0.60399,                 0.0851,                 0.0001,                 0.0001,                 0.0001
                     27,                  1.085,                0.50234,                0.18575,                 0.4747,                0.33608,                0.33868,                0.19226,                0.72319,                0.60425,                0.08468,                 0.0001,                 0.0001,                 0.0001
                     28,                  1.074,                0.50503,                0.18051,                0.47758,                0.33832,                0.34126,                0.19366,                0.72086,                0.60368,                0.08419,                 0.0001,                 0.0001,                 0.0001
                     29,                 1.0706,                0.50319,                0.18282,                0.47943,                0.33936,                0.34321,                0.19488,                0.71809,                0.60349,                0.08384,                 0.0001,                 0.0001,                 0.0001
                     30,                 1.0595,                0.50445,                0.17552,                0.48348,                0.34038,                0.34566,                0.19625,                0.71602,                0.60305,                0.08349,                 0.0001,                 0.0001,                 0.0001
                     31,                 1.0471,                0.50676,                0.17269,                0.48568,                 0.3419,                 0.3476,                0.19767,                0.71373,                 0.6023,                  0.083,                 0.0001,                 0.0001,                 0.0001
                     32,                 1.0426,                0.50674,                0.16959,                0.48862,                0.34552,                0.34982,                0.19929,                0.71118,                0.60239,                 0.0826,                 0.0001,                 0.0001,                 0.0001
                     33,                 1.0514,                0.50353,                0.17704,                0.49448,                0.34627,                0.35216,                0.20051,                0.70837,                0.60239,                0.08227,                 0.0001,                 0.0001,                 0.0001
                     34,                 1.0464,                0.50115,                0.17417,                 0.4985,                0.34763,                0.35497,                0.20222,                0.70594,                0.60207,                0.08188,                 0.0001,                 0.0001,                 0.0001
                     35,                 1.0424,                0.50359,                0.17439,                0.50605,                0.34806,                 0.3574,                0.20374,                 0.7042,                  0.601,                 0.0816,                 0.0001,                 0.0001,                 0.0001
                     36,                 1.0348,                0.50176,                0.16921,                0.50904,                 0.3523,                0.36031,                0.20533,                0.70171,                0.60079,                0.08111,                 0.0001,                 0.0001,                 0.0001
                     37,                 1.0399,                0.50199,                0.17541,                 0.5119,                0.35245,                 0.3623,                0.20667,                 0.6991,                0.60079,                 0.0807,                 0.0001,                 0.0001,                 0.0001
                     38,                 1.0271,                0.50511,                0.16642,                0.51151,                0.35548,                0.36498,                0.20857,                0.69651,                0.60074,                0.08017,                 0.0001,                 0.0001,                 0.0001
                     39,                 1.0285,                0.50366,                0.16815,                0.51015,                0.36007,                 0.3675,                0.21004,                0.69455,                0.59978,                 0.0799,                 0.0001,                 0.0001,                 0.0001
                     40,                 1.0133,                0.50506,                0.16432,                0.51232,                0.36155,                0.36988,                0.21174,                0.69241,                0.59942,                0.07929,                 0.0001,                 0.0001,                 0.0001
                     41,                  1.019,                0.50231,                0.16466,                0.51604,                0.36351,                0.37124,                0.21287,                0.69021,                0.59836,                0.07889,                 0.0001,                 0.0001,                 0.0001
                     42,                 1.0146,                0.50292,                0.16284,                0.52209,                0.36352,                  0.373,                0.21416,                0.68875,                0.59779,                0.07865,                 0.0001,                 0.0001,                 0.0001
                     43,                 1.0263,                0.49708,                0.17112,                0.52599,                0.36466,                0.37575,                0.21599,                0.68617,                0.59797,                0.07822,                 0.0001,                 0.0001,                 0.0001
                     44,                 1.0048,                0.50128,                0.15981,                0.52823,                0.36632,                0.37838,                0.21789,                0.68433,                0.59682,                 0.0779,                 0.0001,                 0.0001,                 0.0001
                     45,                 1.0042,                0.50275,                0.16003,                0.52858,                0.36818,                0.38062,                0.21958,                0.68164,                0.59669,                0.07731,                 0.0001,                 0.0001,                 0.0001
                     46,                0.99194,                0.50603,                0.15642,                0.52866,                0.37406,                0.38434,                0.22167,                0.67998,                0.59584,                0.07697,                 0.0001,                 0.0001,                 0.0001
                     47,                  1.001,                0.50164,                0.15905,                0.52911,                 0.3764,                 0.3863,                0.22309,                 0.6772,                0.59574,                0.07642,                 0.0001,                 0.0001,                 0.0001
                     48,                0.99919,                0.50117,                0.15908,                0.53143,                0.37913,                0.38979,                0.22551,                0.67548,                0.59498,                 0.0763,                 0.0001,                 0.0001,                 0.0001
                     49,                 0.9886,                0.50464,                0.15961,                 0.5372,                0.37785,                0.39162,                0.22669,                0.67393,                0.59419,                0.07608,                 0.0001,                 0.0001,                 0.0001
                     50,                0.99399,                0.50156,                0.15992,                 0.5404,                0.38106,                0.39441,                0.22852,                0.67151,                0.59409,                 0.0758,                 0.0001,                 0.0001,                 0.0001
                     51,                 1.0016,                0.49804,                0.15949,                0.54346,                0.38408,                0.39737,                0.23049,                0.66936,                0.59385,                0.07544,                 0.0001,                 0.0001,                 0.0001
                     52,                0.98303,                0.50208,                0.15391,                0.54874,                0.38611,                0.39999,                0.23251,                0.66756,                 0.5934,                0.07515,                 0.0001,                 0.0001,                 0.0001
                     53,                0.97788,                0.50419,                  0.156,                0.55211,                0.38715,                0.40268,                0.23436,                0.66568,                 0.5932,                0.07492,                 0.0001,                 0.0001,                 0.0001
                     54,                0.98643,                0.50129,                0.15524,                  0.554,                0.38999,                0.40515,                0.23589,                0.66368,                0.59295,                0.07454,                 0.0001,                 0.0001,                 0.0001
                     55,                0.97678,                0.50111,                0.15356,                0.55317,                   0.39,                 0.4073,                0.23777,                0.66162,                 0.5928,                0.07424,                 0.0001,                 0.0001,                 0.0001
                     56,                0.97364,                0.50254,                0.15365,                0.55278,                0.39019,                  0.408,                0.23845,                 0.6597,                0.59241,                0.07391,                 0.0001,                 0.0001,                 0.0001
                     57,                0.98588,                0.49834,                0.15702,                0.55253,                0.39197,                0.40956,                0.23977,                0.65847,                0.59176,                0.07357,                 0.0001,                 0.0001,                 0.0001
                     58,                0.97925,                 0.4984,                0.15776,                0.55762,                0.39178,                0.41219,                0.24166,                0.65685,                0.59162,                0.07338,                 0.0001,                 0.0001,                 0.0001
                     59,                 0.9734,                0.49935,                0.15529,                0.55997,                0.39458,                0.41421,                0.24303,                 0.6549,                0.59137,                0.07322,                 0.0001,                 0.0001,                 0.0001
                     60,                0.96096,                0.50288,                0.14886,                0.55969,                0.39529,                0.41447,                0.24381,                0.65333,                0.59094,                0.07316,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.9537,                0.50336,                0.14779,                0.56352,                0.39645,                0.41602,                0.24511,                0.65161,                0.59034,                0.07282,                 0.0001,                 0.0001,                 0.0001
                     62,                0.96707,                0.49968,                0.15148,                0.56648,                0.39759,                0.41802,                0.24644,                0.64914,                0.59072,                0.07235,                 0.0001,                 0.0001,                 0.0001
                     63,                0.97006,                0.49643,                0.15444,                0.56528,                0.40045,                0.42106,                 0.2482,                0.64691,                0.59058,                0.07203,                 0.0001,                 0.0001,                 0.0001
                     64,                0.95649,                 0.5028,                0.15018,                0.56503,                0.40164,                0.42295,                0.24948,                0.64533,                0.59044,                0.07163,                 0.0001,                 0.0001,                 0.0001
                     65,                0.94741,                0.50136,                0.14764,                0.56988,                0.40286,                0.42524,                0.25115,                0.64387,                0.59013,                0.07145,                 0.0001,                 0.0001,                 0.0001
                     66,                0.95337,                0.50116,                0.14967,                 0.5672,                0.40927,                 0.4275,                0.25331,                0.64256,                0.58969,                0.07145,                 0.0001,                 0.0001,                 0.0001
                     67,                 0.9538,                0.50145,                0.14556,                0.57246,                0.41092,                0.43082,                0.25532,                 0.6415,                0.58937,                0.07136,                 0.0001,                 0.0001,                 0.0001
                     68,                0.94515,                 0.5018,                0.14653,                  0.576,                0.40907,                0.43131,                0.25609,                0.64007,                 0.5892,                0.07118,                 0.0001,                 0.0001,                 0.0001
                     69,                0.94614,                0.50077,                  0.144,                0.57598,                 0.4133,                0.43395,                0.25786,                0.63895,                0.58879,                0.07096,                 0.0001,                 0.0001,                 0.0001
                     70,                0.94808,                0.50146,                  0.147,                0.58071,                0.41415,                0.43541,                0.25877,                0.63733,                0.58865,                0.07077,                 0.0001,                 0.0001,                 0.0001
                     71,                0.94079,                0.50225,                0.14516,                0.58223,                0.41481,                0.43625,                0.25945,                0.63674,                0.58826,                0.07059,                 0.0001,                 0.0001,                 0.0001
                     72,                0.94101,                0.50171,                0.14196,                0.58539,                 0.4128,                0.43765,                0.25979,                0.63539,                0.58793,                0.07036,                 0.0001,                 0.0001,                 0.0001
