                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0484,                0.21185,                0.55709,                0.52094,                0.02796,                0.00966,                 0.0022,                 1.5787,                 0.3815,                0.31765,                0.05964,               4.04e-05,               4.04e-05
                      2,                 1.7891,                0.32578,                0.41979,                0.48349,                0.07895,                0.04639,                0.01562,                 1.3282,                0.49213,                0.23969,               0.019231,              8.085e-05,              8.085e-05
                      3,                 1.6101,                0.40214,                 0.3585,                0.23853,                0.12113,                0.09554,                0.04178,                 1.1276,                0.56374,                0.16978,                 0.0001,                 0.0001,                 0.0001
                      4,                  1.461,                0.44939,                0.30698,                0.25418,                0.14413,                0.13424,                 0.0669,                 1.0131,                0.59167,                0.15575,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.3884,                0.46258,                0.27865,                0.27597,                0.18512,                0.16328,                 0.0841,                0.93645,                0.59728,                 0.1335,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.3387,                0.47404,                0.26425,                0.37179,                0.19823,                0.17683,                0.09362,                0.90697,                0.60597,                0.12693,                 0.0001,                 0.0001,                 0.0001
                      7,                  1.298,                0.47915,                0.25123,                0.34346,                0.22396,                 0.2122,                0.11387,                0.89515,                0.58765,                0.12482,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.2659,                0.48417,                0.24312,                0.33507,                0.24699,                0.22761,                 0.1239,                0.84907,                0.59669,                0.11478,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.2494,                0.48264,                0.23425,                0.36287,                0.25498,                0.24077,                0.13266,                0.82668,                 0.5994,                 0.1081,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.2244,                0.48896,                0.22686,                0.36653,                0.26222,                0.25516,                0.14247,                0.81363,                0.59843,                0.10346,                 0.0001,                 0.0001,                 0.0001
