                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0168,                0.50438,                0.16506,                0.48679,                0.35833,                0.37052,                0.21969,                0.68674,                0.60127,                0.07932,                 0.0001,                 0.0001,                 0.0001
                     37,                 1.0205,                0.50481,                0.16953,                0.49383,                  0.357,                0.37188,                0.22124,                0.68432,                0.60064,                0.07888,                 0.0001,                 0.0001,                 0.0001
                     38,                 1.0087,                0.50738,                0.16146,                0.49994,                0.35665,                0.37422,                0.22306,                0.68241,                 0.5998,                 0.0786,                 0.0001,                 0.0001,                 0.0001
                     39,                 1.0092,                0.50682,                 0.1631,                0.50112,                0.35993,                0.37638,                 0.2243,                0.67984,                0.59992,                0.07822,                 0.0001,                 0.0001,                 0.0001
                     40,                 0.9945,                0.50894,                0.16074,                 0.5053,                0.36068,                0.37973,                0.22629,                0.67736,                0.59926,                0.07778,                 0.0001,                 0.0001,                 0.0001
                     41,                 1.0002,                0.50545,                0.16068,                0.50693,                0.36256,                0.38283,                0.22833,                 0.6754,                0.59858,                0.07778,                 0.0001,                 0.0001,                 0.0001
                     42,                0.99713,                0.50584,                0.15886,                0.50625,                0.36679,                0.38502,                0.22986,                0.67294,                0.59806,                0.07727,                 0.0001,                 0.0001,                 0.0001
                     43,                  1.006,                0.50018,                0.16516,                0.51136,                0.36913,                0.38813,                0.23159,                0.67184,                0.59696,                0.07727,                 0.0001,                 0.0001,                 0.0001
                     44,                0.98745,                0.50428,                0.15644,                0.51082,                0.37161,                0.38918,                0.23244,                0.67024,                0.59601,                0.07704,                 0.0001,                 0.0001,                 0.0001
                     45,                0.98694,                0.50611,                0.15585,                0.51668,                0.37375,                0.39278,                0.23438,                0.66851,                0.59528,                0.07682,                 0.0001,                 0.0001,                 0.0001
                     46,                0.97378,                0.50958,                0.15258,                0.52213,                0.37598,                0.39631,                0.23665,                 0.6669,                 0.5943,                0.07643,                 0.0001,                 0.0001,                 0.0001
                     47,                 0.9822,                0.50442,                0.15523,                0.52692,                0.38065,                0.39954,                0.23873,                0.66455,                0.59395,                0.07605,                 0.0001,                 0.0001,                 0.0001
                     48,                 0.9819,                0.50416,                0.15486,                0.52695,                0.38552,                0.40141,                0.23997,                0.66278,                0.59323,                0.07584,                 0.0001,                 0.0001,                 0.0001
                     49,                0.97025,                0.50772,                0.15458,                0.52462,                0.38749,                0.40259,                0.24072,                0.66131,                0.59284,                0.07547,                 0.0001,                 0.0001,                 0.0001
                     50,                0.97434,                0.50501,                0.15511,                0.52768,                0.38958,                0.40472,                0.24225,                0.65985,                0.59199,                0.07512,                 0.0001,                 0.0001,                 0.0001
                     51,                0.98705,                  0.501,                0.15638,                0.53247,                0.38959,                0.40685,                0.24405,                0.65825,                0.59139,                0.07485,                 0.0001,                 0.0001,                 0.0001
                     52,                0.96594,                0.50582,                0.15079,                0.53644,                0.39042,                0.40859,                0.24525,                0.65649,                0.59101,                0.07465,                 0.0001,                 0.0001,                 0.0001
                     53,                0.96179,                0.50718,                0.15292,                0.53963,                0.39338,                0.41063,                0.24655,                0.65436,                0.59138,                0.07422,                 0.0001,                 0.0001,                 0.0001
                     54,                 0.9707,                0.50453,                0.15092,                0.54441,                0.39573,                0.41342,                0.24841,                0.65332,                0.59087,                 0.0739,                 0.0001,                 0.0001,                 0.0001
                     55,                0.96143,                0.50374,                 0.1495,                0.54347,                0.39796,                0.41437,                0.24912,                0.65128,                0.59057,                0.07373,                 0.0001,                 0.0001,                 0.0001
                     56,                0.95633,                0.50622,                0.14899,                0.54861,                0.39895,                 0.4167,                0.25073,                0.64921,                0.59041,                0.07362,                 0.0001,                 0.0001,                 0.0001
                     57,                0.96919,                0.50126,                0.15257,                 0.5466,                0.40092,                0.41813,                0.25155,                 0.6478,                0.59014,                0.07338,                 0.0001,                 0.0001,                 0.0001
                     58,                0.96276,                0.50228,                  0.153,                0.54681,                0.40087,                0.41892,                0.25209,                0.64633,                0.59007,                0.07278,                 0.0001,                 0.0001,                 0.0001
                     59,                0.95712,                0.50342,                0.15109,                0.54614,                0.40392,                0.42112,                0.25388,                0.64463,                 0.5899,                0.07262,                 0.0001,                 0.0001,                 0.0001
                     60,                0.94452,                0.50584,                0.14462,                0.54956,                0.40571,                0.42309,                0.25493,                0.64341,                0.58913,                 0.0724,                 0.0001,                 0.0001,                 0.0001
                     61,                0.93789,                0.50665,                0.14393,                 0.5512,                0.40626,                0.42528,                0.25629,                0.64216,                0.58875,                0.07233,                 0.0001,                 0.0001,                 0.0001
                     62,                0.95226,                0.50272,                0.14807,                0.55497,                0.40634,                0.42585,                0.25655,                0.64112,                0.58803,                0.07234,                 0.0001,                 0.0001,                 0.0001
                     63,                0.95396,                0.49966,                0.15127,                0.55623,                0.40805,                0.42736,                0.25772,                0.63987,                0.58727,                0.07213,                 0.0001,                 0.0001,                 0.0001
                     64,                0.94031,                0.50674,                0.14541,                0.56198,                0.41056,                0.43029,                0.25985,                0.63849,                0.58732,                0.07209,                 0.0001,                 0.0001,                 0.0001
                     65,                 0.9321,                0.50431,                0.14425,                0.56541,                0.40947,                0.43161,                0.26109,                0.63701,                0.58728,                0.07182,                 0.0001,                 0.0001,                 0.0001
                     66,                0.93937,                0.50434,                0.14681,                0.56474,                0.41208,                0.43261,                0.26214,                0.63578,                0.58715,                0.07146,                 0.0001,                 0.0001,                 0.0001
                     67,                0.93684,                 0.5047,                0.14178,                0.56453,                0.41228,                0.43336,                0.26259,                0.63431,                0.58708,                0.07109,                 0.0001,                 0.0001,                 0.0001
                     68,                 0.9288,                 0.5064,                0.14379,                0.56558,                  0.414,                0.43462,                 0.2638,                0.63232,                0.58762,                0.07086,                 0.0001,                 0.0001,                 0.0001
                     69,                0.93198,                0.50413,                0.14144,                0.56781,                0.41525,                0.43487,                0.26451,                0.63087,                0.58773,                0.07061,                 0.0001,                 0.0001,                 0.0001
