run,experiment,description,mode,model,dataset,seed,training_status,evaluation_status,stop_reason,epochs_completed,best_epoch,best_epoch_source,training_seconds,internal_precision,internal_recall,parameters,gflops,peak_gpu_memory_gib_rank0,baseline,AP,AP50,AP75,APs,APm,APl,AR1,AR10,AR100,ARs,ARm,ARl,delta_AP_pp,delta_AP50_pp,delta_AP75_pp,delta_APs_pp,delta_APm_pp,delta_APl_pp,delta_AR1_pp,delta_AR10_pp,delta_AR100_pp,delta_ARs_pp,delta_ARm_pp,delta_ARl_pp,warnings
Q0,Q0,基线：固定 Expanded-IoU,fixed,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/ultralytics/cfg/models/A-Test-M-R18.yaml,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/datasets/VisDrone2019-DET-YOLO/data.yaml,0,unknown,completed,,336,284,best.pt checkpoint,,0.63782,0.49432,20593912,,,Q0,0.2912885225987825,0.4786430543687104,0.29782592682728476,0.20577252329149107,0.3999059169256018,0.4223301289672449,0.11245107602018994,0.2972853128195638,0.38666507012810397,0.29855421816745226,0.5063856167912727,0.5081179944996785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,历史实验未记录训练状态、停止原因和耗时
Q1,Q1,Q1：仅质量监督使用尺度自适应 Expanded-IoU；其余训练配置与 Q0 一致,adaptive-quality,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/ultralytics/cfg/models/A-Test-M-R18.yaml,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/datasets/VisDrone2019-DET-YOLO/data.yaml,0,completed,completed,epochs_completed,400,382,trainer,58740.730218785044,0.63524,0.50314,20593912,65.320448,11.834394931793213,,0.2889505242684642,0.4816160705596745,0.29359242270826325,0.21048411279223805,0.3906145399617136,0.4572808915599152,0.11280559530442008,0.2965927839342198,0.3873547380889202,0.3061907597058909,0.4981864122078653,0.5547304265985474,,,,,,,,,,,,,未找到唯一且配置、评估协议一致的 Q0；未计算提升
Q2,Q2,Q2：仅回归监督使用尺度自适应 Expanded-IoU；其余训练配置与 Q0 一致,adaptive-regression,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/ultralytics/cfg/models/A-Test-M-R18.yaml,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/datasets/VisDrone2019-DET-YOLO/data.yaml,0,completed,completed,early_stopping,388,348,trainer,58980.401039876,0.63424,0.49751,20593912,65.320448,16.89487648010254,,0.2864584553345908,0.4770588858764682,0.2886115611174511,0.2055117708120344,0.3878511549533299,0.41173990768392044,0.11006923996089199,0.2916221687338297,0.3825858694508165,0.3001581585826155,0.49387983515928435,0.5004205221053053,,,,,,,,,,,,,未找到唯一且配置、评估协议一致的 Q0；未计算提升
Q3,Q3,Q3：查询质量监督与回归损失均使用尺度自适应 Expanded-IoU,adaptive-both,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/ultralytics/cfg/models/A-Test-M-R18.yaml,/home/ubuntu/文档/ZHJ_UAV/SO_DETR/datasets/VisDrone2019-DET-YOLO/data.yaml,0,failed,pending,AcceleratorError,312,296,trainer,47488.21888828001,0.631,0.4932,20593912,65.320448,16.151156425476074,,,,,,,,,,,,,,,,,,,,,,,,,,尚无正式 COCOeval 结果
