                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0293,                0.20436,                0.54731,                0.61464,                0.02293,                0.01271,                0.00286,                 1.5366,                0.37374,                 0.2973,                0.05964,               4.04e-05,               4.04e-05
                      2,                 1.7663,                0.32795,                0.41707,                0.37729,                0.08055,                0.05216,                0.01702,                 1.2863,                0.50123,                0.21811,               0.019231,              8.085e-05,              8.085e-05
                      3,                 1.5835,                0.40236,                0.35641,                0.24645,                0.12419,                 0.1052,                0.04621,                 1.1192,                0.56069,                0.17696,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.4326,                0.45073,                0.30279,                0.24879,                0.15403,                0.14308,                0.06937,                0.97018,                0.59373,                0.14449,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.3643,                0.46241,                0.27859,                0.27147,                0.18195,                  0.161,                0.08402,                 0.9112,                0.59719,                0.12934,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.3171,                0.47324,                 0.2637,                0.30954,                0.18414,                0.17431,                0.09271,                0.88315,                0.60408,                 0.1244,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.2797,                0.47804,                0.25306,                0.35832,                0.21484,                0.20178,                0.10649,                0.85899,                0.59293,                0.12205,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.2447,                0.48309,                0.24365,                0.34392,                0.23588,                 0.2244,                0.12078,                0.82559,                0.59806,                0.11676,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.2297,                0.48225,                0.23472,                0.36794,                0.25227,                0.23853,                0.12912,                0.80841,                0.59427,                0.11042,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.2024,                0.48829,                0.22667,                0.37883,                0.25856,                0.25237,                 0.1386,                0.78641,                0.60098,                0.10495,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.1992,                0.48327,                0.22516,                0.38915,                0.27526,                0.26409,                0.14426,                 0.7782,                0.59348,                0.10474,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.1765,                0.48594,                0.21997,                0.39421,                0.28373,                 0.2681,                0.14817,                0.76722,                0.59444,                0.10076,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.1575,                0.48781,                0.21365,                0.40373,                0.29262,                 0.2797,                0.15519,                0.75172,                0.59622,                0.09856,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.1531,                0.48574,                0.21526,                0.41178,                0.29848,                0.28798,                0.16165,                0.74431,                  0.593,                0.09716,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.1231,                0.49046,                0.20295,                0.41888,                0.30703,                0.29887,                0.16889,                0.73461,                0.59256,                0.09489,                 0.0001,                 0.0001,                 0.0001
                     16,                 1.1274,                0.48712,                0.20641,                  0.422,                  0.314,                0.30645,                 0.1741,                0.73212,                 0.5912,                0.09506,                 0.0001,                 0.0001,                 0.0001
                     17,                 1.1188,                0.48745,                 0.2044,                0.41563,                0.32337,                0.31215,                0.17777,                0.72505,                0.59081,                0.09315,                 0.0001,                 0.0001,                 0.0001
                     18,                 1.1026,                0.48833,                0.19772,                0.43442,                0.32493,                  0.318,                0.18186,                 0.7211,                0.59034,                0.09196,                 0.0001,                 0.0001,                 0.0001
                     19,                  1.085,                0.49317,                0.19048,                0.44819,                0.32245,                0.32154,                0.18443,                0.71726,                 0.5888,                0.09114,                 0.0001,                 0.0001,                 0.0001
                     20,                 1.0864,                0.49015,                0.19006,                0.45406,                0.32481,                0.32571,                0.18768,                0.71135,                0.58895,                0.09005,                 0.0001,                 0.0001,                 0.0001
                     21,                 1.0796,                0.49082,                0.19332,                0.45311,                0.32915,                0.33116,                0.19132,                0.70813,                0.58824,                0.08944,                 0.0001,                 0.0001,                 0.0001
                     22,                 1.0663,                 0.4913,                0.18735,                0.45602,                0.33095,                0.33388,                0.19308,                0.70384,                0.58901,                0.08908,                 0.0001,                 0.0001,                 0.0001
